F,K,theta,n_runs,mean_curv_over_27_streak_mean,mean_curv_over_27_streak_max,max_curv_over_119_streak_mean,max_curv_over_119_streak_max,turning_number_over_3.7_streak_mean,turning_number_over_3.7_streak_max,winding_number_over_3.4_streak_mean,winding_number_over_3.4_streak_max,density_over_2_streak_mean,density_over_2_streak_max,Rg_under_6_streak_mean,Rg_under_6_streak_max,winding_number_under_-3.4_streak_mean,winding_number_under_-3.4_streak_max,turning_number_under_-3.7_streak_mean,turning_number_under_-3.7_streak_max,Rg_mean,Rg_max,Rg_min,turning_number_mean,turning_number_max,turning_number_min,winding_number_mean,winding_number_max,winding_number_min,density_mean,density_max,density_min,direction_mean,mean_curv_mean,max_curv_max,min_curv_min,mean_neighbor_count,max_neighbor_count,max_neighbor_monomer,mean_neighbor_distance,min_neighbor_distance,mean_curv_times_over_27,max_curv_times_over_119,turning_number_times_over_3.7,winding_number_times_over_3.4,density_times_over_2,Rg_times_under_6,winding_number_times_under_-3.4,turning_number_times_under_-3.7,Rg_under_2_unique_streaks,winding_number_under_2_unique_streaks,turning_number_under_2_unique_streaks,mean_curv_over_27_unique_streaks,max_curv_over_119_unique_streaks,turning_number_over_3.7_unique_streaks,winding_number_over_3.4_unique_streaks,density_over_2_unique_streaks,mean_Rg_when_Rg_lessthan_6,min_Rg_when_Rg_lessthan_6,mean_degrees_when_Rg_lessthan_6,min_degrees_when_Rg_lessthan_6,mean_mean_curv_when_Rg_lessthan_6,min_mean_curv_when_Rg_lessthan_6,mean_max_curv_when_Rg_lessthan_6,min_max_curv_when_Rg_lessthan_6,mean_min_curv_when_Rg_lessthan_6,min_min_curv_when_Rg_lessthan_6,mean_max_curv_monomer_when_Rg_lessthan_6,min_max_curv_monomer_when_Rg_lessthan_6,mean_min_curv_monomer_when_Rg_lessthan_6,min_min_curv_monomer_when_Rg_lessthan_6,mean_turning_number_when_Rg_lessthan_6,min_turning_number_when_Rg_lessthan_6,mean_winding_number_when_Rg_lessthan_6,min_winding_number_when_Rg_lessthan_6,mean_density_when_Rg_lessthan_6,min_density_when_Rg_lessthan_6,mean_neighbor_count_when_Rg_lessthan_6,min_neighbor_count_when_Rg_lessthan_6,mean_max_neighbor_monomer_when_Rg_lessthan_6,min_max_neighbor_monomer_when_Rg_lessthan_6,mean_tail_direction_when_Rg_lessthan_6,min_tail_direction_when_Rg_lessthan_6,mean_head_and_tail_angle_diff_when_Rg_lessthan_6,min_head_and_tail_angle_diff_when_Rg_lessthan_6
5.0,5.0,0.0,5,0.049,8.4,0.00116,1.2,0.0,0.0,0.0,0.0,0.0,0.0,28.739440000000002,417.4,0.0,0.0,0.0,0.0,9.529810699095258,14.474007411760283,4.854137039151773,0.019368074178581635,0.994262257048981,-1.1610252877917966,-0.02540124833772628,0.6297176812855719,-1.0385411735502315,0.23245979969935596,0.8492699408385758,0.07597008450210338,-16.98723530671689,21.5101498724,122.51367599999999,0.000212,0.50492,2.6,33.0,1.0076187578280724,0.9391499095946555,101.6,5.4,0.0,0.0,0.0,434.4,0.0,0.0,5.0,0.0,0.0,52.2,5.0,0.0,0.0,0.0,5.028856695461764,4.275626876605758,-10.546573101309207,-130.80513791096556,24.252139315476814,19.868522499999997,82.52940423573139,53.9000575,0.779692115515616,0.014507500000000001,16.982508239759326,4.0,25.573705988200913,1.0,-0.4828947852018472,-1.0873072699936621,-0.3655737717612834,-1.0118974701300005,0.6917282542455836,0.4424799988337808,0.5388152695170757,0.0,3.129783703689464,2.0,-34.086952373266,-165.4612883606704,23.54037927195679,-200.54333064587087
5.0,5.0,0.5,5,0.1654,17.6,0.00236,1.2,0.0,0.0,0.0,0.0,0.0,0.0,45.43404,383.8,0.0,0.0,0.0,0.0,9.32192510050153,14.490797487005077,4.86354625329758,0.15207855271424317,1.548325887513629,-1.007966982327342,0.13606555273549012,1.2861993206095188,-0.5883519790714814,0.2680394876355752,0.8717412149203904,0.07579414533721848,5.4316984192031565,21.442437092400002,121.23174999999999,7.999999999999999e-05,0.5226,2.6,39.0,1.05343812771673,0.9397463755788305,165.2,11.2,0.0,0.0,0.0,580.0,0.0,0.0,2.8,0.0,0.0,75.2,10.6,0.0,0.0,0.0,5.1248781125041845,4.403324303973228,41.20295756323067,-69.87801989584202,23.510709297862544,18.225515,84.7925868740038,55.814679999999996,0.7032840499647315,0.0037224999999999997,16.634301051156235,3.0,26.42019835115845,1.75,0.4747666859422631,-0.20239900590780335,0.4074320361908999,-0.12514312229142727,0.6834493172487055,0.4423891259707645,0.5377603792226671,0.0,2.892892557092406,2.0,7.6982102594663,-115.4963033636844,33.50474730376436,-168.3143500239208
5.0,5.0,1.0,5,0.057679999999999995,10.0,0.0016800000000000003,1.6,0.0,0.0,0.0,0.0,0.0,0.0,30.90452,350.8,0.0,0.0,0.0,0.0,9.772279791249243,14.469282935693098,5.391156378974218,0.07262643832464323,1.2089631074923597,-1.129682609249337,0.039136973371911264,0.9062885860609493,-0.8300104040075376,0.23189547477805245,0.8162668717843493,0.0760201855259385,-16.291894306685293,20.9912618124,121.80036600000001,0.00015000000000000001,0.50544,2.2,38.4,1.0095001505311176,0.9457669279137171,93.4,7.6,0.0,0.0,0.0,351.4,0.0,0.0,0.6,0.0,0.0,45.0,7.0,0.0,0.0,0.0,4.155435823353999,3.2414122790831206,-25.35918380116596,-179.83064733700166,24.91703491584591,19.59243,92.88970282828743,57.7465,0.7811588496968815,0.000825,17.81465619253946,1.0,25.797998325110598,1.0,-0.142744737039539,-1.4982583795403814,-0.07890976027375801,-1.1155146041880202,1.0234994594188647,0.44313725524377195,0.608057674452475,0.0,3.9450381401445505,2.0,-5.999414606462636,-178.74925872475546,-19.359769194703322,-309.97170211380865
5.0,5.0,2.0,5,0.02812,6.8,0.00132,1.4,0.0,0.0,0.0,0.0,0.0,0.0,31.79596,383.0,0.0,0.0,0.0,0.0,9.4761048799215,14.474239958915328,5.198389945173254,-0.12098205428260886,0.9046647713877698,-1.0368230724372092,-0.08834926576802442,0.6017352793250437,-0.7870029368351548,0.21933407298259705,0.6338995635045578,0.0759677559622296,-3.663505824416574,21.2160591436,121.897152,0.00027600000000000004,0.5029199999999999,2.4,38.0,1.0074224860998728,0.9463211244293428,61.6,6.0,0.0,0.0,0.0,385.4,0.0,0.0,1.4,0.0,0.0,33.8,5.6,0.0,0.0,0.0,5.12444403429301,4.552352539613365,-2.197173899207004,-134.13813599248266,23.161030359198296,17.4113,83.78434832284323,48.03413333333333,0.6717620247666733,0.0015999999999999999,16.638014253786462,1.3333333333333333,25.454673126912414,1.0,-0.24747595511526332,-0.7687457555392844,-0.23158355967364894,-0.7467342122055042,0.6221095184994234,0.4426446597621101,0.5439630034627301,0.0,3.4983986072343245,2.0,-19.285280423790052,-179.7831015972903,17.08810652458305,-280.96451986690266
5.0,5.0,5.0,5,0.15996,13.4,0.0028799999999999997,1.8,0.0,0.0,0.0,0.0,0.0,0.0,50.31732000000001,527.4,0.0,0.0,0.0,0.0,9.149667381468147,14.481206725828898,4.590824416695158,0.13844576868288883,1.3826036860842272,-0.8118014032668072,0.09833713479704671,1.2175600617490594,-0.623452078315481,0.2787700427459624,0.9105526900036038,0.07589461802132347,15.398460494924496,21.7081709204,122.718796,3.0000000000000004e-05,0.50484,2.4,46.8,1.0129889670575332,0.9362934501196186,231.2,12.6,0.0,0.0,0.0,650.2,0.0,0.0,2.6,0.0,0.0,95.0,11.0,0.0,0.0,0.0,4.9996846839226095,4.216089958972658,5.083780949284138,-144.8598025890814,24.676258361967005,19.149285,85.45765219674598,54.6617575,0.7801516780692754,0.0033225000000000004,22.550538317311023,2.0,24.721036743696864,1.0,0.6207100096547921,-0.08129093352366994,0.41495636767761623,-0.28976693690430344,0.7129665667306505,0.4427119367677158,0.5372203306185026,0.0,3.188479955042496,2.0,-36.18264764366582,-179.42527863448126,41.26642859294995,-294.89328035959727
5.0,5.0,10.0,5,0.16116000000000003,15.8,0.0054,1.6,0.0,0.0,0.0,0.0,0.0,0.0,115.70931999999998,622.6,0.0,0.0,0.0,0.0,9.238899168603742,14.476778205270369,5.200406683007435,0.2341641840401696,1.4887624378214235,-0.7858164733816027,0.1549011641776856,1.1221141785542301,-0.5788124799617248,0.2652685197509207,0.7618168892513996,0.07594122428566999,-5.2924593465185374,21.332629843600003,123.39318800000001,0.00011399999999999999,0.5200400000000001,2.8,37.2,1.0343876146612991,0.9350916967548129,231.8,25.4,0.0,0.0,0.0,708.8,0.0,0.0,2.6,0.0,0.0,95.4,23.8,0.0,0.0,0.0,5.057204006626786,4.138964609864712,0.23921228469913794,-179.9069605245563,24.82597450057176,18.783816666666663,90.07521955640804,53.320856666666664,0.7534145879512341,0.0013233333333333335,18.85630045582232,2.0,24.657564945275087,1.0,0.7239937223410199,-0.10117135686809053,0.5866549338021143,-0.10427411751693333,0.6849059575171713,0.44221450579931604,0.5714869931221402,0.0,4.357095530683906,2.0,25.871851684262513,-179.81651232887975,-25.632639399563374,-340.82970428808716
5.0,5.0,15.0,5,1.6683999999999997,63.4,0.008000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.255720000000004,381.4,0.0,0.0,0.0,0.0,9.94344762279557,14.475221484886788,5.040194685815058,0.21479586222501434,1.2436146661713008,-0.7256686253977962,0.13371313069424706,1.006704211195586,-0.4367798371026,0.21945415078814062,0.7438062974529864,0.07595756932789341,-18.055500320325955,20.647869794400002,124.301602,2.4e-05,0.5134000000000001,2.8,41.8,1.0212114618720647,0.9416190310556731,187.2,38.2,0.0,0.0,0.0,427.6,0.0,0.0,1.8,0.0,0.0,54.2,36.6,0.0,0.0,0.0,5.295213270883611,4.6965926152793225,-16.488304442745235,-165.91634267590752,24.284635915538,19.8072075,94.20792508886936,63.0790025,0.6695054147578166,0.0018975,21.233574253881528,9.75,24.224872374984564,1.0,0.49242001001555763,0.03130710662334462,0.3559524936546974,-0.02970758521576838,0.6007163977918312,0.44368738783352457,0.5735687320528066,0.0,3.2921086610806705,2.0,-0.6138399875522111,-93.06443519478455,-15.87446445519302,-220.0731438812246
5.0,5.0,30.0,5,1.23104,45.6,0.0262,3.2,0.0,0.0,0.0,0.0,0.0,0.0,372.83916,1162.0,0.0,0.0,0.0,0.0,8.309426600401563,14.486276478804143,4.593691238743069,-0.03501539938502015,1.513338833547494,-1.0576563918219306,-0.1752670819101892,1.3259666708569156,-0.8952254679698142,0.48502941445148745,0.9655940394322832,0.07584147890865141,5.925308074662292,22.0038379456,124.72757200000001,0.00020600000000000002,0.60988,3.2,46.8,1.124376737870145,0.9184290749089519,486.0,117.8,0.0,0.0,0.0,1314.4,0.0,0.0,2.0,0.0,0.0,126.6,106.0,0.0,0.0,0.0,4.744317847165769,4.2043924743576415,-17.527904135186873,-155.28843965079736,24.831351513704533,18.3613625,99.51272425217991,64.13044500000001,0.769037318017591,0.0017875,17.31328460568349,1.0,27.11064525966648,1.0,-0.04700888299082165,-0.698949811400586,-0.2232932801828236,-0.8735503546666437,0.8720576953130543,0.44323193096398245,0.6830779049818609,0.0,3.4063023617673545,2.0,46.943239952986765,-179.28737425264126,-64.47114408817366,-302.6934718569072
5.0,5.0,45.0,5,10.66564,207.8,0.04436,3.0,0.0,0.0,0.0,0.0,0.0,0.0,124.24488,915.2,0.0,0.0,0.0,0.0,8.680098181698792,14.483491418115126,3.6703611277888486,0.48391024838008817,1.5663376890994454,-0.5098974035903485,0.30553680070079386,1.4106726866006654,-0.47017546222592355,0.36118476960175244,1.42684938591623,0.07587078055615426,8.613464057113056,20.990009537600002,125.95443800000001,0.00011199999999999998,0.58504,3.6,50.0,1.152664502439609,0.9150742172341142,454.6,194.6,0.0,0.0,0.0,917.2,0.0,0.0,2.0,0.0,0.0,86.2,169.8,0.0,0.0,0.0,4.393140698301495,3.6703611277888486,-3.6940229221521284,-149.29158593384562,25.93765722244234,19.785843999999997,105.45970228034625,73.965408,0.7689871757473188,0.0026880000000000003,19.189194546789878,5.2,25.11850331156615,1.0,0.6187329864045992,-0.1219881098990312,0.4545274179467886,-0.3706819360383878,0.9847821569116434,0.44355786557347104,0.6858427048495737,0.0,5.708786534217168,2.0,12.88375826843706,-124.1925718762233,-16.577781190589196,-231.78618441051987
5.0,5.0,60.0,4,0.47534999999999994,27.75,0.05324999999999999,4.0,0.0,0.0,0.0,0.0,0.0,0.0,265.45805,1062.25,0.0,0.0,0.0,0.0,8.550808837567846,14.472061958661033,5.373606084437928,0.5602494597968607,1.4214579654778823,-0.27719083043887716,0.24590485488400085,0.8666236516545429,-0.2165927489198863,0.33003139493151334,0.641392007179315,0.0759907840206568,2.848643268970752,19.961985355,125.31736500000001,0.00011499999999999999,0.56175,3.5,50.0,1.0656208475301545,0.9219583559888849,314.75,220.25,0.0,0.0,0.0,1304.75,0.0,0.0,3.25,0.0,0.0,101.5,185.25,0.0,0.0,0.0,4.9741981314322565,4.1920011568437445,-4.80323437372046,-179.95620379398537,24.867996779083153,17.433705,106.73932075002219,70.13992999999999,0.6615905779845175,0.000115,25.570394572210432,1.0,24.476290310862844,1.0,0.966202906843338,0.38371018610221536,0.2122608202965926,-0.0979571285477428,0.6630266937026942,0.4422753579529314,0.5829860914910276,0.0,4.059341222624939,2.0,-14.816627638567912,-179.91310170378551,10.013393264847455,-356.28482987103683
