direction_mean,F,K,theta
-1.828606759070316,5.0,0.5,0.0
-1.380277883092263,5.0,0.5,0.5
2.3619556016309113,5.0,0.5,1.0
12.728634378335403,5.0,0.5,2.0
0.9887146108243836,5.0,0.5,5.0
-2.541347947973371,5.0,0.5,10.0
-0.5431983630160555,5.0,0.5,15.0
1.308408419845342,5.0,0.5,30.0
20.01423753755276,5.0,0.5,45.0
-2.41783498986427,5.0,0.5,60.0
10.847964693283108,5.0,5.0,0.0
-13.014701580796842,5.0,5.0,0.5
12.26330569331471,5.0,5.0,1.0
0.4548941755834249,5.0,5.0,2.0
-6.561539505075504,5.0,5.0,5.0
9.597140653481464,5.0,5.0,10.0
19.37009967967405,5.0,5.0,15.0
14.34930807466229,5.0,5.0,30.0
-2.892135942886944,5.0,5.0,45.0
1.858643268970753,5.0,5.0,60.0
13.768680758824166,5.0,10.0,0.0
9.163694221231102,5.0,10.0,0.5
24.202562099365235,5.0,10.0,1.0
33.38360558805963,5.0,10.0,2.0
2.1417158635984506,5.0,10.0,5.0
20.267061278070237,5.0,10.0,10.0
-9.608383064120554,5.0,10.0,15.0
-4.1280777078940165,5.0,10.0,30.0
5.948802112129354,5.0,10.0,45.0
18.39078105001495,5.0,10.0,60.0
34.06715322430009,5.0,50.0,0.0
60.61864030455053,5.0,50.0,0.5
19.82309032321022,5.0,50.0,1.0
76.3076972478337,5.0,50.0,2.0
54.13067809360766,5.0,50.0,5.0
44.958305441137696,5.0,50.0,10.0
43.56947954402429,5.0,50.0,15.0
3.3121461505519267,5.0,50.0,30.0
37.05801192065364,5.0,50.0,45.0
5.075853111451574,5.0,50.0,60.0
61.28976527054967,5.0,75.0,0.0
-1.8270171397230577,5.0,75.0,0.5
47.08665553436765,5.0,75.0,1.0
71.1086463998167,5.0,75.0,2.0
88.1852305031236,5.0,75.0,5.0
49.11498083514591,5.0,75.0,10.0
24.77141704751876,5.0,75.0,15.0
22.00353858633798,5.0,75.0,30.0
-7.730735220296156,5.0,75.0,45.0
-17.375123083306782,5.0,75.0,60.0
74.86021623225653,5.0,100.0,0.0
57.74755685833166,5.0,100.0,0.5
51.773371628238905,5.0,100.0,1.0
57.20818151713721,5.0,100.0,2.0
86.66502433940195,5.0,100.0,5.0
44.48768864519237,5.0,100.0,10.0
79.76865138206502,5.0,100.0,15.0
51.00251399402051,5.0,100.0,30.0
51.37989455568426,5.0,100.0,45.0
16.207956958748486,5.0,100.0,60.0
83.39912269277275,5.0,200.0,0.0
82.58040380280772,5.0,200.0,0.5
85.50382217955908,5.0,200.0,1.0
45.40873479268481,5.0,200.0,2.0
65.85645004603474,5.0,200.0,5.0
47.99919911542365,5.0,200.0,10.0
103.34251996474136,5.0,200.0,15.0
73.96966889032478,5.0,200.0,30.0
62.132361616205,5.0,200.0,45.0
73.90841816135871,5.0,200.0,60.0
87.54281849521173,5.0,300.0,0.0
86.29672176301608,5.0,300.0,0.5
103.24432680636735,5.0,300.0,1.0
82.2869171148495,5.0,300.0,2.0
110.55308253500876,5.0,300.0,5.0
90.80789522893012,5.0,300.0,10.0
94.64496363856804,5.0,300.0,15.0
99.76255462444678,5.0,300.0,30.0
75.1463864164701,5.0,300.0,45.0
33.78558905059666,5.0,300.0,60.0
-3.504221347627041,10.0,0.5,0.0
-1.2403923156054972,10.0,0.5,0.5
-1.5417520142440722,10.0,0.5,1.0
-3.799953534882915,10.0,0.5,2.0
-1.30677064426818,10.0,0.5,5.0
3.849962515776741,10.0,0.5,10.0
