frames,Rg,degrees,mean_curv,max_curv_monomer,max_curv,min_curv_monomer,min_curv,turning_number,winding_number,density
0.0,14.495613424405102,-82.11638091444163,6.6568,48,20.42425,8,0.0244,0.0446673749355025,0.0213417323540425,0.07574377298225572
1.0,14.42755180704383,-102.5082708103464,8.07615,1,26.39667,28,0.03961,-0.0263300509164182,-0.0349271667803809,0.07646009736360317
2.0,14.33112898249746,-90.3655684516813,9.86893,8,24.28835,26,0.92005,0.0157912393116581,-0.0009700443240514,0.07749243758129588
3.0,14.31291333918808,-93.30114896894092,12.23932,2,46.39228,18,0.27133,0.0214791515249449,-0.0088935488217867,0.07768980799839857
4.0,14.327796650325608,-90.20487128665276,10.68947,2,40.44106,30,0.46474,0.0137791431727892,-0.0011239918599317,0.07752848786572117
5.0,14.29657355855882,-83.63751532324478,11.52534,2,49.50805,8,0.79128,-0.0032540058078308,0.0155754273309941,0.07786749530829629
6.0,14.276211701468425,-91.57813792534382,14.32444,2,49.64461,19,0.65811,-0.0353804704611143,-0.0060418522039618,0.07808977521647033
7.0,14.285120540569862,-87.09187456427739,11.76046,2,60.36575,16,0.72141,-0.0417600895998125,0.00565430911459,0.07799240504595532
8.0,14.270378592513184,-95.83056417396128,12.36615,3,46.30311,9,0.22343,-0.0178670930999708,-0.0180057803911851,0.07815362765874588
9.0,14.214828747153264,-84.09425284239876,14.17916,3,57.32181,28,0.2579,0.0508602721304762,0.0145915414459964,0.07876565118518604
10.0,14.195112287478729,-87.60282315518533,14.22538,3,58.87075,44,0.54149,0.0643537429909468,0.0054695304251356,0.07898460800189352
11.0,14.196479014168398,-75.7632042948253,15.65277,3,57.67849,14,0.12738,0.1140035051624156,0.038435599799142,0.07896940068528918
12.0,14.214217505740626,-76.90569892617205,15.09376,48,51.42799,12,0.64903,0.1348874438096848,0.0360610539526352,0.07877242550998347
13.0,14.212991853475517,-72.79529666798125,14.27781,48,46.16309,18,0.01254,0.1224712351050808,0.0473526512471123,0.07878601191960416
14.0,14.23320041872628,-80.19039152961994,13.94761,4,44.01737,26,0.47689,0.0738926414842285,0.0274526518209139,0.07856244702455918
15.0,14.195148136734996,-95.26900642234268,14.45288,6,40.83957,28,2.09331,0.0038686878838715,-0.0143780408334711,0.07898420905771193
16.0,14.18377491826515,-94.94753313870166,14.34062,6,48.79814,31,0.15742,0.0264418068699761,-0.0131951499102699,0.07911092635574371
17.0,14.172318739865725,-81.86195945946304,13.60201,3,58.54084,19,0.10407,0.0812922870545555,0.0227247744290438,0.07923887651114413
18.0,14.182656852409,-80.17807125058083,16.06438,2,59.38738,6,0.00049,0.0856337914035059,0.0271590728209958,0.07912340000055922
19.0,14.166101159034216,-88.92466198803297,14.96291,8,58.73883,17,0.35799,0.0794620945573214,0.0029768571702721,0.07930844854552163
20.0,14.138611844043728,-92.19005119771673,14.04646,8,53.78571,4,0.12019,0.0872638467170667,-0.0054475801604551,0.07961714282693998
21.0,14.124785681459889,-93.72252051308357,16.56744,8,61.82596,16,0.85694,0.0622106440237245,-0.0093903381114515,0.07977308690274733
22.0,14.150207267617663,-88.6697899389987,15.08586,9,49.26263,39,1.17306,0.1123262068848282,0.0040640203413525,0.07948671134698697
23.0,14.152228418892197,-81.15034657992241,14.53707,48,45.14555,15,0.31612,0.1541552522792205,0.0248401622185852,0.07946400917016506
24.0,14.132315484552906,-78.57588462831,13.43038,48,57.80869,12,0.1966,0.1974669189078595,0.0321950393743368,0.07968810215768886
25.0,14.116363148463874,-77.51459847945065,14.43516,48,85.57984,22,0.14059,0.2338991858590234,0.0359408295812698,0.07986830858154657
26.0,14.129006879061135,-67.60845065550254,14.63166,48,94.64715,32,0.19412,0.2854761538612789,0.062581638994377,0.07972542783316684
27.0,14.135747885065602,-68.99633079267689,13.70064,48,83.57965,8,0.19466,0.2584691250455879,0.0582486726657028,0.07964940759733215
28.0,14.150777929508356,-79.24918360716151,14.13737,48,87.80867,15,0.56576,0.225590784738781,0.0301308936114883,0.07948030051606507
29.0,14.133510344505654,-65.68217829397773,12.44374,48,77.08822,12,0.3141,0.2443966211884634,0.0674330241180369,0.07967462891645881
30.0,14.119654373044972,-78.54481566987134,13.04547,48,70.89153,25,0.32801,0.1769081697773929,0.0314821261455549,0.07983107907191833
31.0,14.12738686251169,-80.01084149884697,15.8931,48,72.42838,46,0.05215,0.1530597149979601,0.0270250610634293,0.07974371343956808
32.0,14.093701882494605,-71.15035524539172,15.12491,48,59.1895,37,0.09592,0.1651954052407663,0.0508135522291936,0.08012535560600008
33.0,14.05061997511822,-56.56590428547404,16.67817,48,67.01358,1,0.06189,0.1866687496371911,0.0896609760213784,0.08061746845674789
34.0,14.029681436276476,-58.026169013923145,17.88185,46,53.72883,35,0.10606,0.1273237437490676,0.0853569946274225,0.08085828242468661
35.0,13.972002105951493,-54.10380891318781,17.28161,46,48.85925,16,0.23006,0.1352927176393273,0.0964386703241915,0.08152726003013763
36.0,13.946692851365109,-47.314048640906634,17.7246,34,51.96943,15,0.22586,0.1607831513080147,0.1155359817842,0.08182342578594608
